0 31
0 87
0 76
0 15
1 42
1 10
2 69
2 64
3 90
3 30
4 59
5 46
5 43
5 25
6 61
6 14
7 52
7 48
8 67
8 53
8 50
9 78
10 39
10 64
10 73
11 82
11 97
11 89
12 47
13 75
13 37
14 91
14 76
15 97
16 65
16 64
17 27
17 62
17 98
17 69
18 74
18 22
19 34
20 60
20 21
21 55
21 30
22 77
23 29
23 86
24 50
24 81
25 94
25 95
25 68
25 53
26 37
26 34
26 50
28 79
28 92
30 54
32 43
33 64
34 84
35 85
35 43
36 59
38 77
40 42
41 70
42 96
44 78
45 89
47 93
48 51
48 62
49 72
49 95
52 88
53 80
54 59
54 94
56 90
57 58
57 92
63 73
63 68
66 75
70 99
71 88
74 93
74 89
77 92
78 86
81 97
83 98
86 90
92 99
